Country,Country Code,Series,Series Code,2020M07 [2020M07]
Advanced Economies,AME,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,46.45812873492
Afghanistan,AFG,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Albania,ALB,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,109.09789473684
Algeria,DZA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,128.47597368421
Angola,AGO,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,571.73086111111
Antigua and Barbuda,ATG,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,2.7
Argentina,ARG,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,71.23136111111
Armenia,ARM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Aruba,ABW,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Australia,AUS,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1.428672041
Austria,AUT,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Azerbaijan,AZE,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1.7
Bahamas The,BHS,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1
Bahrain,BHR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Bangladesh,BGD,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,84.8375
Barbados,BRB,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,2.01658333333
Belarus,BLR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,2.4143627451
Belgium,BEL,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,0.87750513465
Belize,BLZ,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Benin,BEN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Bermuda,BMU,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Bhutan,BTN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,75.02136842105
Bolivia,BOL,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,6.909
Bosnia and Herzegovina,BIH,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1.72023684211
Botswana,BWA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,11.59113025946
Brazil,BRA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,5.32019444444
Brunei,BRN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1.39125
Bulgaria,BGR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1.71936111111
Burkina Faso,BFA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Burundi,BDI,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1919.8552631579
Cambodia,KHM,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Cameroon,CMR,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
Canada,CAN,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1.35323684211
Cape Verde,CPV,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..
